stamp,seq_tw,drone_position_x,drone_position_y,drone_position_z,drone_position_qx,drone_position_qy,drone_position_qz,drone_position_qw,yolo_label,yolo_xmin,yolo_xmax,yolo_ymin,yolo_ymax,yolo_confidence,object_global_position_2d_x,object_global_position_2d_y,object_global_position_2d_z
1628079695.741446,136,2.023202,0.093971,1.070032,-0.004966,-0.021445,-0.013912,0.999661,soldier,270,327,229,368,0.944278,10.022673,0.094892,0.000000
1628079695.808112,137,2.044253,0.085765,1.070274,-0.004695,-0.021717,-0.012381,0.999676,soldier,276,330,225,370,0.947535,9.836820,0.049572,0.000000
1628079695.874755,138,2.144885,0.079790,1.071133,-0.006471,-0.018286,-0.006452,0.999791,soldier,283,335,217,382,0.974240,9.835723,0.052228,0.000000
1628079695.941448,139,2.193667,0.077096,1.076531,-0.007915,-0.018488,-0.003723,0.999791,soldier,285,339,214,383,0.959640,9.694914,0.050365,0.000000
1628079696.008114,140,2.255901,0.079657,1.081907,-0.009470,-0.021500,-0.005010,0.999711,soldier,291,342,201,384,0.947222,9.574528,-0.022517,0.000000
1628079696.074972,141,2.320431,0.079807,1.085214,-0.007762,-0.020222,-0.005071,0.999753,soldier,290,342,199,399,0.974741,9.469425,-0.002175,0.000000
1628079696.141454,142,2.369141,0.079807,1.086089,-0.008233,-0.020585,-0.004464,0.999744,soldier,290,342,199,399,0.981729,9.603636,0.005244,0.000000
1628079696.208112,143,2.416832,0.088717,1.083907,-0.008111,-0.023195,-0.004669,0.999687,soldier,291,343,195,405,0.980470,9.484067,-0.005166,0.000000
1628079696.274781,144,2.478671,0.093882,1.078637,-0.006391,-0.023097,-0.009295,0.999670,soldier,291,343,196,408,0.980162,9.546437,-0.064429,0.000000
1628079696.341446,145,2.546831,0.101729,1.076349,-0.005526,-0.022323,-0.014021,0.999637,soldier,287,340,201,401,0.975293,9.531929,-0.064755,0.000000
1628079696.408113,146,2.561775,0.106024,1.081071,-0.005890,-0.022364,-0.013454,0.999642,soldier,283,337,206,397,0.963725,9.390169,-0.031329,0.000000
1628079696.474780,147,2.681200,0.114995,1.084367,-0.005788,-0.018690,-0.019810,0.999612,soldier,276,332,217,386,0.954969,9.508731,-0.037722,0.000000
1628079696.541456,148,2.721989,0.117126,1.086463,-0.005113,-0.020090,-0.021762,0.999548,soldier,271,326,194,399,0.961483,9.475585,0.011945,0.000000
1628079696.608357,149,2.779405,0.118805,1.088853,-0.004305,-0.020763,-0.024229,0.999482,soldier,269,324,194,399,0.942348,9.459421,0.000027,0.000000
1628079696.674792,150,2.835016,0.118477,1.089748,-0.002123,-0.020081,-0.026328,0.999449,soldier,265,321,189,407,0.952753,9.443520,0.009508,0.000000
1628079696.741453,151,2.903725,0.118056,1.087209,0.000439,-0.021551,-0.027573,0.999387,soldier,265,318,186,410,0.969988,9.442474,0.013119,0.000000
1628079696.808118,152,2.925658,0.101468,1.079523,0.001347,-0.021260,-0.026795,0.999414,soldier,262,317,190,407,0.986493,9.465353,0.024550,0.000000
1628079696.874783,153,3.028740,0.092619,1.071407,0.003444,-0.020837,-0.023727,0.999495,soldier,264,317,188,412,0.988512,9.500081,0.057927,0.000000
1628079696.941451,154,3.105202,0.084462,1.067079,0.004569,-0.023880,-0.024275,0.999410,soldier,266,320,186,413,0.987549,9.507339,0.010062,0.000000
